City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,neryungri,56.6709,124.6491,-14.24,89,100,14.2,RU,1702585978
164,ambon,-3.6954,128.1814,80.08,14,40,5.75,ID,1702585978
165,chibougamau,49.9168,-74.3659,20.82,79,100,13.8,CA,1702585947
166,okhotsk,59.3833,143.3,-4.43,89,100,22.57,RU,1702585979
167,makokou,0.5738,12.8642,72.66,62,43,1.1,GA,1702585979
168,flying fish cove,-10.4217,105.6791,74.88,83,75,5.75,CX,1702585979
169,somerton,32.5964,-114.7097,69.01,24,0,8.05,US,1702585979
170,yorkton,51.2167,-102.4677,40.84,45,0,11.5,CA,1702585802
171,tralee,52.2704,-9.7026,47.34,82,100,5.3,IE,1702585979
172,pingdu,36.7844,119.9464,30.54,86,100,18.32,CN,1702585979
173,bhamo,24.2667,97.2333,63.52,91,66,2.17,MM,1702585979
174,hobyo,5.3505,48.5268,80.11,76,29,16.8,SO,1702585980
175,talcahuano,-36.7167,-73.1167,62.28,59,0,13.8,CL,1702585980
176,port hedland,-20.3167,118.5667,75.25,94,4,9.22,AU,1702585980
177,port macquarie,-31.4333,152.9167,75.88,67,5,13.44,AU,1702585866
178,regina,50.4501,-104.6178,39.31,46,20,13.8,CA,1702585980
179,egilsstadir,65.2653,-14.3948,33.71,55,75,12.66,IS,1702585980
180,luderitz,-26.6481,15.1594,62.2,64,0,25.5,NA,1702585980
181,orerokpe,5.6351,5.8896,76.87,63,11,3.71,NG,1702585981
182,euclides da cunha,-10.5075,-39.0158,84.65,36,60,13.71,BR,1702585981
183,jagodina,43.9814,21.2622,45.55,94,100,6.02,RS,1702585981
184,karratha,-20.7377,116.8463,77.31,74,25,9.91,AU,1702585904
185,la ronge,55.1001,-105.2842,41.25,38,75,11.5,CA,1702585981
186,sault ste. marie,46.5168,-84.3333,46.69,51,0,8.05,CA,1702585973
187,bungoma,0.5635,34.5606,63.23,91,83,2.66,KE,1702585982
188,novyy urengoy,66.0833,76.6333,-2.74,100,99,2.01,RU,1702585982
189,hithadhoo,-0.6,73.0833,83.14,73,40,6.8,MV,1702585983
190,kamaishi,39.2667,141.8833,38.97,68,100,2.95,JP,1702585983
191,kapa'a,22.0752,-159.319,76.98,84,75,27.63,US,1702585983
192,meadow lake,34.8014,-106.5436,47.3,71,21,12.48,US,1702585983
193,juneau,58.3019,-134.4197,41.0,93,100,26.46,US,1702585984
194,ola,59.5833,151.2833,2.44,71,49,15.75,RU,1702585984
195,charters towers,-20.1,146.2667,74.16,85,100,11.7,AU,1702585984
196,prince rupert,54.3161,-130.3201,46.09,64,75,32.21,CA,1702585817
197,selkirk,50.1436,-96.8845,39.11,76,12,10.0,CA,1702585803
198,tual,-5.6667,132.75,83.25,78,99,16.08,ID,1702585985
199,arraial do cabo,-22.9661,-42.0278,84.16,74,0,25.32,BR,1702585985
200,lethem,3.3803,-59.7968,95.61,34,96,10.49,GY,1702585986
201,papao,-17.75,-149.55,85.68,81,100,15.48,PF,1702585986
202,nova sintra,14.8667,-24.7167,71.69,76,98,9.04,CV,1702585986
203,cadale,2.7603,46.3222,81.32,76,25,17.52,SO,1702585986
204,mpwapwa,-6.35,36.4833,68.77,89,68,3.31,TZ,1702585987
205,raduzhny,62.0961,77.475,-0.54,91,100,7.65,RU,1702585987
206,pervomayskiy,53.2485,40.2871,20.01,93,100,18.88,RU,1702585987
207,cassano allo ionio,39.783,16.3182,52.48,86,91,3.8,IT,1702585987
208,marshalltown,42.0494,-92.908,55.24,44,0,12.66,US,1702585988
209,kapuskasing,49.4169,-82.4331,39.29,75,75,16.11,CA,1702585988
210,pisco,-13.7,-76.2167,77.05,65,0,14.97,PE,1702585988
211,ancud,-41.8697,-73.8203,54.25,82,100,19.01,CL,1702585960
212,road town,18.4167,-64.6167,82.49,57,20,10.36,VG,1702585988
213,banamba,13.55,-7.45,69.91,17,4,9.17,ML,1702585989
214,crane,31.3974,-102.3501,53.37,95,100,18.63,US,1702585989
215,severo-yeniseyskiy,60.3725,93.0408,-17.43,97,99,5.01,RU,1702585989
216,valparaiso,-33.0393,-71.6273,70.0,60,0,10.36,CL,1702585912
217,waynesville,35.4887,-82.9887,55.89,32,0,1.01,US,1702585990
218,kharkhorin,47.1975,102.8238,-13.31,98,99,3.29,MN,1702585990
219,alesund,62.4723,6.1549,44.33,71,40,16.11,NO,1702585913
220,isyangulovo,52.1909,52.1909,14.67,63,93,14.34,RU,1702585991
221,margaret river,-33.95,115.0667,50.49,81,59,11.3,AU,1702585991
222,island harbour,50.724,-1.2758,48.92,94,2,1.99,GB,1702585991
223,humberto de campos,-2.5983,-43.4611,81.14,73,43,10.45,BR,1702585992
224,kalmunai,7.4167,81.8167,77.27,88,98,5.44,LK,1702585992
225,luwuk,-0.9516,122.7875,78.3,79,99,2.86,ID,1702585992
226,barroso,-21.1869,-43.9758,82.58,77,71,8.14,BR,1702585992
227,cabedelo,-6.9811,-34.8339,84.87,77,77,12.41,BR,1702585992
228,neenah,44.1858,-88.4626,52.05,53,0,12.66,US,1702585993
229,clifton,40.8584,-74.1638,42.84,41,0,10.36,US,1702585993
